ID,age,job,marital,education,defaultnew,balance,housing,loan,day,duration,campaign,pdays,previous,poutcome,month_num
0,3,4,1,2,0,2143,1,0,5,1,1,-1,0,3,5
1,1,9,2,1,0,29,1,0,5,0,1,-1,0,3,5
2,0,2,1,1,0,2,1,1,5,2,1,-1,0,3,5
3,1,1,1,3,0,1506,1,0,5,2,1,-1,0,3,5
4,0,11,2,3,0,1,0,0,5,1,1,-1,0,3,5
5,0,4,1,2,0,231,1,0,5,0,1,-1,0,3,5
6,2,4,2,2,0,447,1,1,5,1,1,-1,0,3,5
7,1,2,0,2,1,2,1,0,5,3,1,-1,0,3,5
8,3,5,1,0,0,121,1,0,5,2,1,-1,0,3,5
9,1,9,2,1,0,593,1,0,5,2,1,-1,0,3,5
10,1,0,0,1,0,270,1,0,5,1,1,-1,0,3,5
11,0,0,2,1,0,390,1,0,5,0,1,-1,0,3,5
12,3,9,1,1,0,6,1,0,5,3,1,-1,0,3,5
13,3,9,1,3,0,71,1,0,5,2,1,-1,0,3,5
14,3,7,1,1,0,162,1,0,5,0,1,-1,0,3,5
15,3,5,1,0,0,229,1,0,5,3,1,-1,0,3,5
16,1,0,2,3,0,13,1,0,5,2,1,-1,0,3,5
17,3,1,1,0,0,52,1,0,5,2,1,-1,0,3,5
18,3,5,1,0,0,60,1,0,5,1,1,-1,0,3,5
19,0,7,1,1,0,0,1,0,5,2,1,-1,0,3,5
20,2,1,1,1,0,723,1,1,5,1,1,-1,0,3,5
21,3,4,1,2,0,779,1,0,5,0,1,-1,0,3,5
22,0,1,2,0,0,23,1,1,5,0,1,-1,0,3,5
23,2,7,1,1,0,50,1,0,5,3,1,-1,0,3,5
24,1,5,1,0,0,0,1,1,5,1,1,-1,0,3,5
25,1,0,1,1,0,-372,1,0,5,0,1,-1,0,3,5
26,1,4,2,2,0,255,1,0,5,1,1,-1,0,3,5
27,3,2,1,1,0,113,1,1,5,0,1,-1,0,3,5
28,1,4,2,1,0,-246,1,0,5,1,2,-1,0,3,5
29,0,9,2,1,0,265,1,1,5,3,1,-1,0,3,5
30,3,9,1,1,0,839,0,1,5,1,1,-1,0,3,5
31,3,4,1,2,0,378,1,0,5,1,1,-1,0,3,5
